Subject,Predicate,Object,Decision,Notes
Polymer,crossReference,DatabaseIdentifier,IDMapping/Exclude,crossreference not equivalent to the equivalent ids
Requirement,regulator,Complex,,
Reaction,output,Drug,,
Reaction,input,GenomeEncodedEntity,,
Polymerisation,inferredTo,Polymerisation,Exclude,More like an equivalent identifiers for polymerisation
Polymerisation,evidenceType,EvidenceType,Provenance/Include,Describe the source from where the polymerization was derived
IntraChainCrosslinkedResidue,modification,ReferenceGroup,,
EntityFunctionalStatus,normalEntity,EntityWithAccessionedSequence,,
PositiveGeneExpressionRegulation,activeUnit,EntityWithAccessionedSequence,,
GO_Term,surroundedBy,GO_Term,,
NegativePrecedingEvent,precedingEvent,Reaction,,
BlackBoxEvent,input,Polymer,,
PositiveGeneExpressionRegulation,regulator,EntityWithAccessionedSequence,,
InstanceEdit,authored,SimpleEntity,Exclude,Manual edit
ExternalOntology,referenceDatabase,ReferenceDatabase,,
InstanceEdit,created,ExternalOntology,Exclude,Manual edit
InstanceEdit,created,FragmentInsertionModification,Exclude,Manual edit
FragmentInsertionModification,referenceSequence,ReferenceSequence,,
InstanceEdit,modified,Requirement,Exclude,Manual edit
CandidateSet,inferredTo,GenomeEncodedEntity,,
NegativeRegulation,regulator,DefinedSet,,
Reaction,output,GenomeEncodedEntity,,
Person,author,URL,Exclude,Author to Paper DOI URL
InstanceEdit,created,ReferenceDatabase,Exclude,Manual edit
ProteinDrug,disease,Disease,,
InstanceEdit,modified,ExternalOntology,Exclude,Manual edit
Regulation,regulator,SimpleEntity,,
Complex,entityOnOtherCell,EntityWithAccessionedSequence,,
InstanceEdit,modified,GeneticallyModifiedResidue,Exclude,Manual edit
Polymerisation,output,Polymer,Include,
NegativeRegulation,activeUnit,EntityWithAccessionedSequence,,
NegativePrecedingEvent,precedingEvent,BlackBoxEvent,,
FailedReaction,input,DefinedSet,,
Polymerisation,precedingEvent,Reaction,Include,
CandidateSet,hasCandidate,Drug,,
FailedReaction,input,Complex,,
Reaction,precedingEvent,Polymerisation,Include,
Reaction,reverseReaction,Reaction,,
BlackBoxEvent,catalystActivityReference,CatalystActivityReference,Exclude,
CatalystActivity,physicalEntity,GenomeEncodedEntity,RDF_edge/Maybe,
Summation,literatureReference,Book,Exclude,
ReferenceGroup,referenceDatabase,ReferenceDatabase,,
InstanceEdit,modified,Affiliation,Exclude,Manual edit
BlackBoxEvent,output,Polymer,,
EntityWithAccessionedSequence,hasModifiedResidue,FragmentModification,,
Pathway,literatureReference,Book,Exclude,Authorship
InstanceEdit,created,Book,Exclude,Manual edit
CandidateSet,hasMember,Drug,Maybe,
InstanceEdit,modified,IntraChainCrosslinkedResidue,Exclude,Manual edit
Polymerisation,input,DefinedSet,Include,
Reaction,literatureReference,Book,Exclude,Authorship
Reaction,entityOnOtherCell,EntityWithAccessionedSequence,,
InstanceEdit,modified,Taxon,Exclude,Manual edit
InstanceEdit,revised,BlackBoxEvent,Exclude,Manual edit
InstanceEdit,created,ReferenceGroup,Exclude,Manual edit
CandidateSet,summation,Summation,,
Complex,hasComponent,ProteinDrug,,
DefinedSet,inferredTo,CandidateSet,,
BlackBoxEvent,input,OtherEntity,,
NegativeRegulation,activeUnit,Complex,,
Polymerisation,literatureReference,Publication,Provenance/Exclude,Literature reference for the polymerization
EntityWithAccessionedSequence,hasModifiedResidue,TranscriptionalModification,,
TopLevelPathway,compartment,GO_Term,,
InstanceEdit,modified,Book,Exclude,Manual edit
InstanceEdit,authored,CandidateSet,Exclude,Manual edit
Book,publisher,Affiliation,Exclude,Authorship
ReferenceSequence,species,Taxon,Include,
InstanceEdit,authored,DefinedSet,Exclude,Manual edit
InstanceEdit,modified,CatalystActivityReference,Exclude,Manual edit
ProteinDrug,compartment,GO_Term,Include,
ProteinDrug,referenceEntity,ReferenceTherapeutic,IDMapping/Include,
InstanceEdit,created,ProteinDrug,Exclude,Manual edit
BlackBoxEvent,output,OtherEntity,,
Species,crossReference,DatabaseIdentifier,IDMapping/Exclude,crossreference not equivalent to the equivalent ids
InstanceEdit,modified,Species,Exclude,Manual edit
Reaction,entityOnOtherCell,DefinedSet,,
InstanceEdit,created,FragmentModification,Exclude,Manual edit
ControlReference,regulation,Requirement,,
Polymerisation,input,Complex,Include,
FragmentModification,referenceSequence,ReferenceSequence,,
FailedReaction,input,EntityWithAccessionedSequence,,
DefinedSet,summation,Summation,Attribute/Maybe,Descriptive summary of a definedset 
EntityFunctionalStatus,normalEntity,DefinedSet,Attribute/Exclude,Descriptive functional status of a definedset 
CandidateSet,literatureReference,URL,,
Reaction,input,ProteinDrug,,
EntityFunctionalStatus,diseaseEntity,CandidateSet,,
Species,superTaxon,Taxon,Include,
NegativeRegulation,regulator,SimpleEntity,,
TopLevelPathway,literatureReference,Publication,Provenance/Exclude,
CandidateSet,hasMember,Polymer,Maybe,
InstanceEdit,modified,CrosslinkedResidue,Exclude,Manual edit
ReferenceMolecule,species,Taxon,Include,
Regulation,regulator,CandidateSet,,
InstanceEdit,edited,CandidateSet,Exclude,Manual edit
PositiveGeneExpressionRegulation,activeUnit,CandidateSet,,
InstanceEdit,created,Species,Exclude,Manual edit
InstanceEdit,reviewed,Polymerisation,Exclude,Manual edit
Polymer,repeatedUnit,Polymer,,
Complex,entityOnOtherCell,DefinedSet,,
InstanceEdit,modified,ReferenceGroup,Exclude,Manual edit
NegativeRegulation,activeUnit,CandidateSet,,
NegativeRegulation,regulator,CandidateSet,,
Polymerisation,catalystActivity,CatalystActivity,RDF_edge/Exclude,Catalyst activity of the polymerization
CatalystActivity,physicalEntity,Polymer,RDF_edge/Maybe,
InstanceEdit,modified,ReferenceDatabase,Exclude,Manual edit
InstanceEdit,modified,Disease,Exclude,Manual edit
EntityFunctionalStatus,diseaseEntity,EntityWithAccessionedSequence,,
Polymerisation,input,EntityWithAccessionedSequence,Include,
InstanceEdit,edited,Complex,Exclude,Manual edit
NegativeRegulation,activeUnit,DefinedSet,,
DefinedSet,hasMember,ProteinDrug,Maybe,
InstanceEdit,modified,ReferenceRNASequence,Exclude,Manual edit
Depolymerisation,output,SimpleEntity,Include,
Polymerisation,output,Complex,Include,
DefinedSet,hasMember,OtherEntity,,
InstanceEdit,modified,ControlReference,Exclude,Manual edit
SimpleEntity,disease,Disease,,
Polymerisation,precedingEvent,BlackBoxEvent,Include,
CandidateSet,hasMember,CandidateSet,,
PositiveGeneExpressionRegulation,activeUnit,DefinedSet,,
FailedReaction,input,CandidateSet,,
BlackBoxEvent,input,Drug,,
CandidateSet,hasCandidate,Polymer,,
InstanceEdit,created,URL,Exclude,Manual edit
BlackBoxEvent,figure,Figure,,
Polymerisation,output,DefinedSet,Include,
InstanceEdit,authored,Polymerisation,Exclude,Manual edit
InstanceEdit,edited,Polymerisation,Exclude,Manual edit
Polymer,literatureReference,Publication,Provenance/Exclude,
ReferenceRNASequence,referenceGene,ReferenceDNASequence,,
Pathway,precedingEvent,BlackBoxEvent,,
InstanceEdit,modified,Polymerisation,Exclude,Manual edit
ProteinDrug,literatureReference,Publication,Provenance/Exclude,
InstanceEdit,modified,ProteinDrug,Exclude,Manual edit
Polymer,repeatedUnit,CandidateSet,,
SimpleEntity,cellType,CellType,Include,
FailedReaction,input,Drug,,
Depolymerisation,compartment,GO_Term,Include,
GenomeEncodedEntity,goCellularComponent,GO_Term,,
Polymerisation,input,SimpleEntity,Include,
PositiveGeneExpressionRegulation,activity,GO_MolecularFunction,,
Reaction,entityOnOtherCell,Complex,,
InstanceEdit,authored,Drug,Exclude,Manual edit
GenomeEncodedEntity,disease,Disease,,
InstanceEdit,modified,TopLevelPathway,Exclude,Manual edit
BlackBoxEvent,input,GenomeEncodedEntity,,
CandidateSet,inferredTo,Complex,,
Requirement,regulator,SimpleEntity,,
EntityFunctionalStatus,normalEntity,CandidateSet,,
GO_Term,hasPart,GO_Term,,
Complex,entityOnOtherCell,Complex,,
InstanceEdit,created,Depolymerisation,Exclude,Manual edit
Depolymerisation,summation,Summation,Attribute/Include,
Depolymerisation,species,Species,Include,
InstanceEdit,reviewed,TopLevelPathway,Exclude,Manual edit
CandidateSet,hasCandidate,SimpleEntity,,
BlackBoxEvent,output,GenomeEncodedEntity,,
Pathway,hasEvent,Depolymerisation,,
InstanceEdit,authored,TopLevelPathway,Exclude,Manual edit
OtherEntity,summation,Summation,,
TopLevelPathway,hasEncapsulatedEvent,Pathway,,
InstanceEdit,edited,TopLevelPathway,Exclude,Manual edit
InstanceEdit,modified,NegativePrecedingEvent,Exclude,Manual edit
DefinedSet,goCellularComponent,GO_Term,,
TopLevelPathway,hasEvent,Reaction,,
TopLevelPathway,figure,Figure,,
InstanceEdit,created,FunctionalStatus,Exclude,Manual edit
OtherEntity,literatureReference,Publication,Provenance/Exclude,
Depolymerisation,input,SimpleEntity,,
Depolymerisation,catalystActivity,CatalystActivity,RDF_edge/Exclude,
FunctionalStatus,functionalStatusType,FunctionalStatusType,,
FunctionalStatus,structuralVariant,SequenceOntology,,
GenomeEncodedEntity,literatureReference,Publication,Provenance/Exclude,
Polymerisation,output,SimpleEntity,,
Polymerisation,precedingEvent,Polymerisation,,
Depolymerisation,inferredTo,Depolymerisation,Exclude,Inference across species
Reaction,inferredTo,BlackBoxEvent,,
Depolymerisation,input,Polymer,,
InstanceEdit,authored,OtherEntity,Exclude,Manual edit
Drug,summation,Summation,,
Requirement,regulator,DefinedSet,,
Depolymerisation,evidenceType,EvidenceType,,
Reaction,entityOnOtherCell,SimpleEntity,,
GenomeEncodedEntity,summation,Summation,,
BlackBoxEvent,requiredInputComponent,Complex,,
Polymer,repeatedUnit,SimpleEntity,,
PositiveGeneExpressionRegulation,regulator,DefinedSet,,
Regulation,activeUnit,Complex,,
BlackBoxEvent,output,Drug,,
Summation,literatureReference,URL,,
BlackBoxEvent,requiredInputComponent,EntityWithAccessionedSequence,,
Pathway,literatureReference,URL,,
DefinedSet,inferredTo,Polymer,,
BlackBoxEvent,literatureReference,Book,Exclude,Authorship
InstanceEdit,modified,URL,Exclude,Manual edit
DefinedSet,relatedSpecies,Species,Include,
DefinedSet,crossReference,DatabaseIdentifier,IDMapping/Exclude,crossreference not equivalent to the equivalent ids
FailedReaction,normalReaction,BlackBoxEvent,,
BlackBoxEvent,negativePrecedingEvent,NegativePrecedingEvent,,
Polymerisation,input,Polymer,,
Depolymerisation,precedingEvent,Reaction,,
InstanceEdit,created,SequenceOntology,Exclude,Manual edit
InstanceEdit,created,TranscriptionalModification,Exclude,Manual edit
CandidateSet,hasMember,ProteinDrug,,
SequenceOntology,referenceDatabase,ReferenceDatabase,,
Reaction,reactionType,ReactionType,,
TopLevelPathway,hasEvent,BlackBoxEvent,,
TopLevelPathway,hasEncapsulatedEvent,TopLevelPathway,,
Depolymerisation,literatureReference,Publication,Provenance/Exclude,
Polymer,repeatedUnit,GenomeEncodedEntity,,
InstanceEdit,revised,Complex,Exclude,Manual edit
BlackBoxEvent,inferredTo,Reaction,,
Complex,literatureReference,Book,Exclude,Authorship
Regulation,activeUnit,EntityWithAccessionedSequence,,
SimpleEntity,goCellularComponent,GO_Term,Include,
NegativeRegulation,activity,GO_MolecularFunction,,
CandidateSet,hasCandidate,GenomeEncodedEntity,,
SimpleEntity,summation,Summation,Attribute/Include,
Pathway,hasEncapsulatedEvent,TopLevelPathway,,
CellType,referenceDatabase,ReferenceDatabase,,
InstanceEdit,created,CellType,Exclude,Manual edit
Requirement,activity,GO_MolecularFunction,,
Reaction,requiredInputComponent,EntityWithAccessionedSequence,,
Polymerisation,relatedSpecies,Species,Include,
Regulation,activity,GO_MolecularFunction,,
InstanceEdit,authored,ProteinDrug,Exclude,Manual edit
TranscriptionalModification,referenceSequence,ReferenceRNASequence,,
TranscriptionalModification,modification,ReferenceGroup,,
SimpleEntity,literatureReference,Publication,Provenance/Exclude,
InstanceEdit,modified,TranscriptionalModification,Exclude,Manual edit
Reaction,literatureReference,URL,,
Complex,entityOnOtherCell,SimpleEntity,,
Depolymerisation,output,CandidateSet,,
FailedReaction,precedingEvent,Reaction,,
CandidateSet,relatedSpecies,Species,Include,
Reaction,entityOnOtherCell,OtherEntity,,
Species,superTaxon,Species,Include,
EntityWithAccessionedSequence,literatureReference,Book,Exclude,Authorship
Reaction,requiredInputComponent,Complex,,
InstanceEdit,modified,SequenceOntology,Exclude,Manual edit
InstanceEdit,modified,FragmentInsertionModification,Exclude,Manual edit
BlackBoxEvent,entityFunctionalStatus,EntityFunctionalStatus,,
FailedReaction,relatedSpecies,Species,Include,
OtherEntity,disease,Disease,,
NegativeRegulation,goBiologicalProcess,GO_BiologicalProcess,,
Reaction,precedingEvent,Depolymerisation,,
InstanceEdit,edited,DefinedSet,Exclude,Manual edit
CandidateSet,hasMember,SimpleEntity,,
FailedReaction,catalystActivityReference,CatalystActivityReference,Exclude,
Depolymerisation,output,Polymer,,
FailedReaction,input,GenomeEncodedEntity,,
InstanceEdit,reviewed,Depolymerisation,Exclude,Manual edit
Reaction,regulatedBy,PositiveGeneExpressionRegulation,,
InstanceEdit,edited,EntityWithAccessionedSequence,Exclude,Manual edit
BlackBoxEvent,entityOnOtherCell,EntityWithAccessionedSequence,,
BlackBoxEvent,precedingEvent,Polymerisation,,
InstanceEdit,authored,Depolymerisation,Exclude,Manual edit
InstanceEdit,edited,Depolymerisation,Exclude,Manual edit
InstanceEdit,modified,Depolymerisation,Exclude,Manual edit
Reaction,entityOnOtherCell,CandidateSet,,
Depolymerisation,input,Complex,,
BlackBoxEvent,entityOnOtherCell,SimpleEntity,,
Polymerisation,output,CandidateSet,,
Polymerisation,input,CandidateSet,,
InstanceEdit,created,ControlledVocabulary,Exclude,Manual edit
NegativeRegulation,activeUnit,Drug,,
NegativeRegulation,regulator,Drug,,
Polymer,disease,Disease,,
EntityWithAccessionedSequence,cellType,CellType,Include,
TopLevelPathway,literatureReference,Book,Exclude,Authorship
BlackBoxEvent,normalReaction,BlackBoxEvent,,
FailedReaction,input,OtherEntity,,
FailedReaction,inferredTo,FailedReaction,Exclude,
CandidateSet,inferredTo,Polymer,,
CandidateSet,hasCandidate,ProteinDrug,,
Polymerisation,regulationReference,ControlReference,,
InstanceEdit,created,FunctionalStatusType,Exclude,Manual edit
InstanceEdit,modified,FunctionalStatus,Exclude,Manual edit
Complex,entityOnOtherCell,Polymer,,
Polymer,goCellularComponent,GO_Term,,
ProteinDrug,crossReference,DatabaseIdentifier,IDMapping/Exclude,crossreference not equivalent to the equivalent ids
Complex,cellType,CellType,,
FailedReaction,regulatedBy,Regulation,,
Reaction,normalReaction,BlackBoxEvent,,
InstanceEdit,authored,GenomeEncodedEntity,Exclude,Manual edit
NegativeRegulation,activeUnit,ProteinDrug,,
InstanceEdit,revised,FailedReaction,Exclude,Manual edit
Polymerisation,requiredInputComponent,Complex,,
Polymerisation,requiredInputComponent,EntityWithAccessionedSequence,,
Polymerisation,regulatedBy,Regulation,,
NegativeRegulation,activeUnit,SimpleEntity,,
Regulation,activeUnit,SimpleEntity,,
Reaction,precedingEvent,FailedReaction,,
InstanceEdit,revised,TopLevelPathway,Exclude,Manual edit
Complex,entityOnOtherCell,OtherEntity,,
Reaction,entityOnOtherCell,Polymer,,
Polymerisation,disease,Disease,,
DefinedSet,cellType,CellType,,
InstanceEdit,modified,CellType,Exclude,Manual edit
FailedReaction,entityOnOtherCell,EntityWithAccessionedSequence,,
Drug,cellType,CellType,,
Depolymerisation,output,Complex,,
Polymerisation,inferredTo,BlackBoxEvent,Include,
NegativeRegulation,regulator,GenomeEncodedEntity,,
ReferenceRNASequence,crossReference,DatabaseIdentifier,IDMapping/Exclude,crossreference not equivalent to the equivalent ids
BlackBoxEvent,literatureReference,URL,,
Reaction,requiredInputComponent,SimpleEntity,,
BlackBoxEvent,entityOnOtherCell,DefinedSet,,
InstanceEdit,created,ReactionType,Exclude,Manual edit
FailedReaction,regulatedBy,NegativeRegulation,,
InstanceEdit,reviewed,EntityWithAccessionedSequence,Exclude,Manual edit
PositiveGeneExpressionRegulation,regulator,SimpleEntity,,
SimpleEntity,literatureReference,Book,Exclude,Authorship
InstanceEdit,reviewed,Complex,Exclude,Manual edit
CatalystActivity,physicalEntity,OtherEntity,RDF_edge/Maybe,
Polymerisation,regulatedBy,NegativeRegulation,,
Regulation,activeUnit,DefinedSet,,
Requirement,activeUnit,EntityWithAccessionedSequence,,
ControlReference,literatureReference,Book,Exclude,Authorship
Depolymerisation,relatedSpecies,Species,Include,
Depolymerisation,disease,Disease,,
FragmentModification,referenceSequence,ReferenceDNASequence,,
InstanceEdit,modified,FragmentModification,Exclude,Manual edit
FailedReaction,input,ProteinDrug,,
CandidateSet,crossReference,DatabaseIdentifier,IDMapping/Exclude,crossreference not equivalent to the equivalent ids
EntityFunctionalStatus,normalEntity,Polymer,,
FailedReaction,input,Polymer,,
TranscriptionalModification,referenceSequence,ReferenceDNASequence,,
TranscriptionalModification,modification,ReferenceMolecule,,
FailedReaction,literatureReference,URL,,
CatalystActivity,physicalEntity,SimpleEntity,RDF_edge/Maybe,
InstanceEdit,created,EvidenceType,Exclude,Manual edit
InstanceEdit,authored,Polymer,Exclude,Manual edit
InstanceEdit,reviewed,DefinedSet,Exclude,Manual edit
Reaction,requiredInputComponent,CandidateSet,,
CandidateSet,literatureReference,Book,Exclude,Authorship
SimpleEntity,figure,Figure,Exclude,
Reaction,requiredInputComponent,OtherEntity,,
Regulation,goBiologicalProcess,GO_BiologicalProcess,,
BlackBoxEvent,normalReaction,Reaction,,
Requirement,activeUnit,DefinedSet,,
Requirement,regulator,CandidateSet,,
InstanceEdit,revised,Polymerisation,Exclude,Manual edit
ReferenceGroup,crossReference,DatabaseIdentifier,IDMapping/Exclude,crossreference not equivalent to the equivalent ids
InstanceEdit,modified,ControlledVocabulary,Exclude,Manual edit
BlackBoxEvent,entityOnOtherCell,Polymer,,
PositiveGeneExpressionRegulation,goBiologicalProcess,GO_BiologicalProcess,,
Reaction,precedingEvent,Pathway,,
Polymerisation,goBiologicalProcess,GO_BiologicalProcess,Include,
TopLevelPathway,disease,Disease,,
InstanceEdit,revised,DefinedSet,Exclude,Manual edit
Depolymerisation,output,EntityWithAccessionedSequence,Include,
Depolymerisation,output,DefinedSet,,
Complex,figure,Figure,,
Requirement,activeUnit,Complex,,
CatalystActivityReference,literatureReference,Book,Exclude,Authorship
ProteinDrug,summation,Summation,,
FailedReaction,regulationReference,ControlReference,,
FailedReaction,requiredInputComponent,Complex,,
DefinedSet,figure,Figure,,
Regulation,regulator,OtherEntity,,
OtherEntity,cellType,CellType,,
Regulation,regulator,Drug,,
ReferenceDNASequence,crossReference,DatabaseIdentifier,IDMapping/Exclude,crossreference not equivalent to the equivalent ids
Depolymerisation,catalystActivityReference,CatalystActivityReference,Exclude,
DefinedSet,literatureReference,URL,,
Taxon,superTaxon,Species,Include,
CatalystActivity,activeUnit,GenomeEncodedEntity,RDF_edge/Maybe,
Interaction,interactor,ReferenceGroup,Maybe,
