primaryIdentifier,organism.shortName,pathways.identifier,pathways.name,pathways.link
SGD:S000004780,S. cerevisiae,PTWY:PANTOSYN2-PWY,pantothenate and coenzyme A biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PANTOSYN2-PWY
SGD:S000004780,S. cerevisiae,PTWY:PWY3O-4300,ethanol degradation,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-4300
SGD:S000004780,S. cerevisiae,PTWY:PWY-5760-1,&beta;-alanine biosynthesis IV,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-5760-1
SGD:S000002921,S. cerevisiae,PTWY:GLUT-REDOX2-PWY,glutathione-glutaredoxin redox reactions,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=GLUT-REDOX2-PWY
SGD:S000002921,S. cerevisiae,PTWY:PWY3O-592,glutathione-glutaredoxin system,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-592
SGD:S000002680,S. cerevisiae,PTWY:PWY-901,methylglyoxal catabolism,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-901
SGD:S000005486,S. cerevisiae,PTWY:GLUCONEO-PWY-1,gluconeogenesis I,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=GLUCONEO-PWY-1
SGD:S000005486,S. cerevisiae,PTWY:GLYOXYLATE-BYPASS,glyoxylate cycle,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=GLYOXYLATE-BYPASS
SGD:S000005486,S. cerevisiae,PTWY:PWY3O-94,superpathway of TCA cycle and glyoxylate cycle,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-94
SGD:S000003441,S. cerevisiae,PTWY:DENOVOPURINE2-PWY,superpathway of purine nucleotides de novo biosynthesis II,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=DENOVOPURINE2-PWY
SGD:S000003441,S. cerevisiae,PTWY:DENOVOPURINE3-PWY,de novo biosynthesis of purine nucleotides,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=DENOVOPURINE3-PWY
SGD:S000003441,S. cerevisiae,PTWY:PRPP-PWY-1,"superpathway of histidine, purine, and pyrimidine biosynthesis",https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PRPP-PWY-1
SGD:S000003441,S. cerevisiae,PTWY:PWY3O-285,superpathway of purine biosynthesis and salvage pathways,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-285
SGD:S000003441,S. cerevisiae,PTWY:PWY-6125,superpathway of guanosine nucleotides de novo biosynthesis II,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-6125
SGD:S000003441,S. cerevisiae,PTWY:PWY-6126-1,superpathway of adenosine nucleotides de novo biosynthesis II,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-6126-1
SGD:S000003441,S. cerevisiae,PTWY:PWY-7220-1,adenosine deoxyribonucleotides de novo biosynthesis II,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-7220-1
SGD:S000003441,S. cerevisiae,PTWY:PWY-781,sulfate assimilation pathway,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-781
SGD:S000003441,S. cerevisiae,PTWY:PWY-821-1,superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae),https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-821-1
SGD:S000003441,S. cerevisiae,PTWY:SO4ASSIM-PWY,assimilatory sulfate reduction I,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=SO4ASSIM-PWY
SGD:S000003441,S. cerevisiae,PTWY:THIOREDOX-PWY,thioredoxin pathway,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=THIOREDOX-PWY
SGD:S000003441,S. cerevisiae,PTWY:YEAST-DE-NOVO-PYRMID-DNT,de novo biosynthesis of pyrimidine deoxyribonucleotides,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=YEAST-DE-NOVO-PYRMID-DNT
SGD:S000004033,S. cerevisiae,PTWY:DENOVOPURINE2-PWY,superpathway of purine nucleotides de novo biosynthesis II,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=DENOVOPURINE2-PWY
SGD:S000004033,S. cerevisiae,PTWY:DENOVOPURINE3-PWY,de novo biosynthesis of purine nucleotides,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=DENOVOPURINE3-PWY
SGD:S000004033,S. cerevisiae,PTWY:PRPP-PWY-1,"superpathway of histidine, purine, and pyrimidine biosynthesis",https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PRPP-PWY-1
SGD:S000004033,S. cerevisiae,PTWY:PWY3O-285,superpathway of purine biosynthesis and salvage pathways,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-285
SGD:S000004033,S. cerevisiae,PTWY:PWY-6125,superpathway of guanosine nucleotides de novo biosynthesis II,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-6125
SGD:S000004033,S. cerevisiae,PTWY:PWY-6126-1,superpathway of adenosine nucleotides de novo biosynthesis II,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-6126-1
SGD:S000004033,S. cerevisiae,PTWY:PWY-7220-1,adenosine deoxyribonucleotides de novo biosynthesis II,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-7220-1
SGD:S000004033,S. cerevisiae,PTWY:PWY-781,sulfate assimilation pathway,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-781
SGD:S000004033,S. cerevisiae,PTWY:PWY-821-1,superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae),https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-821-1
SGD:S000004033,S. cerevisiae,PTWY:SO4ASSIM-PWY,assimilatory sulfate reduction I,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=SO4ASSIM-PWY
SGD:S000004033,S. cerevisiae,PTWY:THIOREDOX-PWY,thioredoxin pathway,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=THIOREDOX-PWY
SGD:S000004033,S. cerevisiae,PTWY:YEAST-DE-NOVO-PYRMID-DNT,de novo biosynthesis of pyrimidine deoxyribonucleotides,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=YEAST-DE-NOVO-PYRMID-DNT
SGD:S000002761,S. cerevisiae,PTWY:THIOREDOX-PWY,thioredoxin pathway,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=THIOREDOX-PWY
SGD:S000003436,S. cerevisiae,PTWY:ALL-CHORISMATE-PWY-1,superpathway of chorismate metabolism,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=ALL-CHORISMATE-PWY-1
SGD:S000003436,S. cerevisiae,PTWY:FOLSYN-PWY-1,superpathway of tetrahydrofolate biosynthesis and salvage,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=FOLSYN-PWY-1
SGD:S000003436,S. cerevisiae,PTWY:PWY-2201,folate transformations I,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-2201
SGD:S000003436,S. cerevisiae,PTWY:PWY3O-20,folate polyglutamylation,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-20
SGD:S000003436,S. cerevisiae,PTWY:PWY3O-697,folate interconversions,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-697
SGD:S000006266,S. cerevisiae,PTWY:YEAST-RNT-SALV,salvage pathways of pyrimidine ribonucleotides,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=YEAST-RNT-SALV
SGD:S000005982,S. cerevisiae,PTWY:GLUCFERMEN-PWY,superpathway of glucose fermentation,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=GLUCFERMEN-PWY
SGD:S000006012,S. cerevisiae,PTWY:GLUT-REDOX2-PWY,glutathione-glutaredoxin redox reactions,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=GLUT-REDOX2-PWY
SGD:S000006012,S. cerevisiae,PTWY:PWY3O-592,glutathione-glutaredoxin system,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-592
SGD:S000004017,S. cerevisiae,PTWY:ASPARAGINE-DEG2-PWY,asparagine degradation,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=ASPARAGINE-DEG2-PWY
SGD:S000004017,S. cerevisiae,PTWY:ASPBIO-PWY,aspartate biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=ASPBIO-PWY
SGD:S000004017,S. cerevisiae,PTWY:P4-PWY-1,superpathway of threonine and methionine biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=P4-PWY-1
SGD:S000004017,S. cerevisiae,PTWY:PWY3O-7,superpathway of threonine biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-7
SGD:S000004017,S. cerevisiae,PTWY:THRESYN-PWY,superpathway of L-threonine biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=THRESYN-PWY
SGD:S000003909,S. cerevisiae,PTWY:BRANCHED-CHAIN-AA-SYN-PWY-1,superpathway of branched chain amino acid biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=BRANCHED-CHAIN-AA-SYN-PWY-1
SGD:S000003909,S. cerevisiae,PTWY:LEUSYN-PWY-1,L-leucine biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=LEUSYN-PWY-1
SGD:S000003909,S. cerevisiae,PTWY:PWY3O-351,superpathway of methionine salvage pathway,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-351
SGD:S000003320,S. cerevisiae,PTWY:DETOX1-PWY,superoxide radicals degradation,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=DETOX1-PWY
SGD:S000003865,S. cerevisiae,PTWY:DETOX1-PWY,superoxide radicals degradation,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=DETOX1-PWY
SGD:S000002729,S. cerevisiae,PTWY:ASPARAGINE-DEG2-PWY,asparagine degradation,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=ASPARAGINE-DEG2-PWY
SGD:S000004164,S. cerevisiae,PTWY:PWY3O-13,superpathway of glutamate biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-13
SGD:S000004048,S. cerevisiae,PTWY:ALL-CHORISMATE-PWY-1,superpathway of chorismate metabolism,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=ALL-CHORISMATE-PWY-1
SGD:S000004048,S. cerevisiae,PTWY:FOLSYN-PWY-1,superpathway of tetrahydrofolate biosynthesis and salvage,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=FOLSYN-PWY-1
SGD:S000004048,S. cerevisiae,PTWY:PWY-2201,folate transformations I,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-2201
SGD:S000004048,S. cerevisiae,PTWY:PWY3O-20,folate polyglutamylation,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-20
SGD:S000004048,S. cerevisiae,PTWY:PWY3O-230,serine biosynthesis from glyoxylate,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-230
SGD:S000004048,S. cerevisiae,PTWY:PWY3O-261,superpathway of serine and glycine biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-261
SGD:S000004048,S. cerevisiae,PTWY:PWY3O-697,folate interconversions,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-697
SGD:S000004551,S. cerevisiae,PTWY:PWY3O-6-1,"dehydro-D-arabinono-1,4-lactone biosynthesis",https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-6-1
SGD:S000001079,S. cerevisiae,PTWY:ARGDEG-YEAST-PWY,arginine degradation (aerobic),https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=ARGDEG-YEAST-PWY
SGD:S000000825,S. cerevisiae,PTWY:ARGDEG-YEAST-PWY,arginine degradation (aerobic),https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=ARGDEG-YEAST-PWY
SGD:S000000825,S. cerevisiae,PTWY:PROSYN-PWY,L-proline biosynthesis I,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PROSYN-PWY
SGD:S000004467,S. cerevisiae,PTWY:ERGOSTEROL-SYN-PWY-1,superpathway of ergosterol biosynthesis I,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=ERGOSTEROL-SYN-PWY-1
SGD:S000004467,S. cerevisiae,PTWY:PWY-6075-1,ergosterol biosynthesis I,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-6075-1
SGD:S000003023,S. cerevisiae,PTWY:PWY3O-1801,palmitoleate biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-1801
SGD:S000003023,S. cerevisiae,PTWY:PWY3O-5268,oleate biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-5268
SGD:S000003023,S. cerevisiae,PTWY:PWY3O-5962,"superpathway of fatty acid biosynthesis, saturated and unsaturated",https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-5962
SGD:S000000456,S. cerevisiae,PTWY:YEAST-DE-NOVO-PYRMID-DNT,de novo biosynthesis of pyrimidine deoxyribonucleotides,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=YEAST-DE-NOVO-PYRMID-DNT
SGD:S000005340,S. cerevisiae,PTWY:BIOTIN-SYNTHESIS-PWY,biotin biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=BIOTIN-SYNTHESIS-PWY
SGD:S000002692,S. cerevisiae,PTWY:TRIGLSYN-PWY,diacylglycerol and triacylglycerol biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=TRIGLSYN-PWY
SGD:S000000357,S. cerevisiae,PTWY:YEAST-RIBOSYN-PWY,"riboflavin, FMN and FAD biosynthesis",https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=YEAST-RIBOSYN-PWY
SGD:S000005762,S. cerevisiae,PTWY:ALL-CHORISMATE-PWY-1,superpathway of chorismate metabolism,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=ALL-CHORISMATE-PWY-1
SGD:S000005762,S. cerevisiae,PTWY:FOLSYN-PWY-1,superpathway of tetrahydrofolate biosynthesis and salvage,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=FOLSYN-PWY-1
SGD:S000005762,S. cerevisiae,PTWY:PWY3O-20,folate polyglutamylation,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-20
SGD:S000005762,S. cerevisiae,PTWY:PWY3O-45,folate biosynthesis II,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-45
SGD:S000005762,S. cerevisiae,PTWY:PWY3O-697,folate interconversions,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-697
SGD:S000005762,S. cerevisiae,PTWY:PWY-6614,tetrahydrofolate biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-6614
SGD:S000004719,S. cerevisiae,PTWY:ALL-CHORISMATE-PWY-1,superpathway of chorismate metabolism,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=ALL-CHORISMATE-PWY-1
SGD:S000004719,S. cerevisiae,PTWY:FOLSYN-PWY-1,superpathway of tetrahydrofolate biosynthesis and salvage,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=FOLSYN-PWY-1
SGD:S000004719,S. cerevisiae,PTWY:PWY3O-45,folate biosynthesis II,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-45
SGD:S000004719,S. cerevisiae,PTWY:PWY-6614,tetrahydrofolate biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-6614
SGD:S000005015,S. cerevisiae,PTWY:PYRUVDEHYD-PWY,pyruvate decarboxylation to acetyl CoA,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PYRUVDEHYD-PWY
SGD:S000001876,S. cerevisiae,PTWY:ALL-CHORISMATE-PWY-1,superpathway of chorismate metabolism,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=ALL-CHORISMATE-PWY-1
SGD:S000001876,S. cerevisiae,PTWY:FOLSYN-PWY-1,superpathway of tetrahydrofolate biosynthesis and salvage,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=FOLSYN-PWY-1
SGD:S000001876,S. cerevisiae,PTWY:PWY-2201,folate transformations I,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-2201
SGD:S000001876,S. cerevisiae,PTWY:PWY3O-697,folate interconversions,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-697
SGD:S000001876,S. cerevisiae,PTWY:PWY3O-94,superpathway of TCA cycle and glyoxylate cycle,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-94
SGD:S000001876,S. cerevisiae,PTWY:PWY-5084,2-oxoglutarate decarboxylation to succinyl-CoA,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-5084
SGD:S000001876,S. cerevisiae,PTWY:PYRUVDEHYD-PWY,pyruvate decarboxylation to acetyl CoA,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PYRUVDEHYD-PWY
SGD:S000001876,S. cerevisiae,PTWY:TCA-EUK-PWY,"TCA cycle, aerobic respiration",https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=TCA-EUK-PWY
SGD:S000002555,S. cerevisiae,PTWY:PWY3O-94,superpathway of TCA cycle and glyoxylate cycle,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-94
SGD:S000002555,S. cerevisiae,PTWY:PWY-5084,2-oxoglutarate decarboxylation to succinyl-CoA,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-5084
SGD:S000002555,S. cerevisiae,PTWY:TCA-EUK-PWY,"TCA cycle, aerobic respiration",https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=TCA-EUK-PWY
SGD:S000004412,S. cerevisiae,PTWY:PRPP-PWY-1,"superpathway of histidine, purine, and pyrimidine biosynthesis",https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PRPP-PWY-1
SGD:S000004412,S. cerevisiae,PTWY:PWY0-162,superpathway of pyrimidine ribonucleotides de novo biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY0-162
SGD:S000004412,S. cerevisiae,PTWY:PYRIMID-RNTSYN-PWY,de novo biosynthesis of pyrimidine ribonucleotides,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PYRIMID-RNTSYN-PWY
SGD:S000001699,S. cerevisiae,PTWY:PRPP-PWY-1,"superpathway of histidine, purine, and pyrimidine biosynthesis",https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PRPP-PWY-1
SGD:S000001699,S. cerevisiae,PTWY:PWY0-162,superpathway of pyrimidine ribonucleotides de novo biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY0-162
SGD:S000001699,S. cerevisiae,PTWY:PYRIMID-RNTSYN-PWY,de novo biosynthesis of pyrimidine ribonucleotides,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PYRIMID-RNTSYN-PWY
SGD:S000001761,S. cerevisiae,PTWY:SPHINGOLIPID-SYN-PWY-1,sphingolipid biosynthesis (yeast),https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=SPHINGOLIPID-SYN-PWY-1
SGD:S000002702,S. cerevisiae,PTWY:SPHINGOLIPID-SYN-PWY-1,sphingolipid biosynthesis (yeast),https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=SPHINGOLIPID-SYN-PWY-1
SGD:S000003777,S. cerevisiae,PTWY:BRANCHED-CHAIN-AA-SYN-PWY-1,superpathway of branched chain amino acid biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=BRANCHED-CHAIN-AA-SYN-PWY-1
SGD:S000002807,S. cerevisiae,PTWY:PWY3O-1,salvage pathways of purines and their nucleosides,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-1
SGD:S000002807,S. cerevisiae,PTWY:PWY3O-2220,"salvage pathways of adenine, hypoxanthine and their nucleosides",https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-2220
SGD:S000002807,S. cerevisiae,PTWY:PWY3O-285,superpathway of purine biosynthesis and salvage pathways,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-285
SGD:S000002807,S. cerevisiae,PTWY:PWY3O-743,"salvage pathways of guanine, xanthine and their nucleosides",https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-743
SGD:S000006387,S. cerevisiae,PTWY:PWY3O-123,dolichyl phosphate D-mannose biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-123
SGD:S000000178,S. cerevisiae,PTWY:GLUCOSE-MANNOSYL-CHITO-DOLICHOL,lipid-linked oligosaccharide biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=GLUCOSE-MANNOSYL-CHITO-DOLICHOL
SGD:S000003459,S. cerevisiae,PTWY:GLUCOSE-MANNOSYL-CHITO-DOLICHOL,lipid-linked oligosaccharide biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=GLUCOSE-MANNOSYL-CHITO-DOLICHOL
SGD:S000003657,S. cerevisiae,PTWY:NONOXIPENT-PWY,pentose phosphate pathway (non-oxidative branch),https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=NONOXIPENT-PWY
SGD:S000003657,S. cerevisiae,PTWY:PENTOSE-P-PWY,pentose phosphate pathway,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PENTOSE-P-PWY
SGD:S000006205,S. cerevisiae,PTWY:PWY3O-94,superpathway of TCA cycle and glyoxylate cycle,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-94
SGD:S000006205,S. cerevisiae,PTWY:TCA-EUK-PWY,"TCA cycle, aerobic respiration",https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=TCA-EUK-PWY
SGD:S000000980,S. cerevisiae,PTWY:PYRUVDEHYD-PWY,pyruvate decarboxylation to acetyl CoA,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PYRUVDEHYD-PWY
SGD:S000000425,S. cerevisiae,PTWY:PYRUVDEHYD-PWY,pyruvate decarboxylation to acetyl CoA,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PYRUVDEHYD-PWY
SGD:S000004364,S. cerevisiae,PTWY:PWY-5080-1,very long chain fatty acid biosynthesis I,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-5080-1
SGD:S000000240,S. cerevisiae,PTWY:SPHINGOLIPID-SYN-PWY-1,sphingolipid biosynthesis (yeast),https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=SPHINGOLIPID-SYN-PWY-1
SGD:S000003486,S. cerevisiae,PTWY:GLUCFERMEN-PWY,superpathway of glucose fermentation,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=GLUCFERMEN-PWY
SGD:S000003486,S. cerevisiae,PTWY:GLUCONEO-PWY-1,gluconeogenesis I,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=GLUCONEO-PWY-1
SGD:S000003486,S. cerevisiae,PTWY:GLYCOLYSIS,glycolysis I (from glucose 6-phosphate),https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=GLYCOLYSIS
SGD:S000001217,S. cerevisiae,PTWY:GLUCFERMEN-PWY,superpathway of glucose fermentation,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=GLUCFERMEN-PWY
SGD:S000001217,S. cerevisiae,PTWY:GLUCONEO-PWY-1,gluconeogenesis I,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=GLUCONEO-PWY-1
SGD:S000001217,S. cerevisiae,PTWY:GLYCOLYSIS,glycolysis I (from glucose 6-phosphate),https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=GLYCOLYSIS
SGD:S000002173,S. cerevisiae,PTWY:PWY-5080-1,very long chain fatty acid biosynthesis I,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-5080-1
SGD:S000004018,S. cerevisiae,PTWY:DENOVOPURINE2-PWY,superpathway of purine nucleotides de novo biosynthesis II,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=DENOVOPURINE2-PWY
SGD:S000004018,S. cerevisiae,PTWY:DENOVOPURINE3-PWY,de novo biosynthesis of purine nucleotides,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=DENOVOPURINE3-PWY
